Src_IP,Dst_IP,Src_Port,Dst_Port,Protocol,Duration,Total_Pkts,Total_Bytes,Pkt_Len_Std,Pkt_Len_Max,Payload_Bytes_Total,IAT_Std,IAT_Max
172.29.34.217,18.64.78.76,35770,443,TCP,164.0838198661804,249,455849,2067.19840709651,12793,439403,4.297939746555023,46.98442840576172
172.29.34.217,18.64.78.76,35770,443,TCP,164.0678565502167,128,10000,11.45575728618584,94,0,5.937875165550588,46.99378252029419
172.29.34.216,2.19.96.153,40198,80,TCP,64.8065755367279,17,1122,0.0,66,0,4.834739671725823,10.21426296234131
172.29.34.216,51.38.13.222,43570,443,TCP,0.0002553462982177,2,114,3.0,60,0,0.0,0.0002553462982177
146.75.121.91,172.29.34.205,443,38062,TCP,2.448808193206787,4,264,0.0,66,0,1.154057769194649,2.44835352897644
172.29.34.1,172.29.34.202,53,33775,DNS,0.0008575916290283,2,241,34.5,155,0,0.0,0.0008575916290283
172.29.34.1,172.29.34.202,53,46439,DNS,0.0007193088531494,2,352,90.0,266,0,0.0,0.0007193088531494
172.29.34.202,34.36.137.203,58710,443,UDP,0.1291577816009521,34,17052,560.2934753740336,1294,15624,0.0065296411095365,0.0254914760589599
172.29.34.217,3.160.39.2,60937,443,UDP,2.303732872009277,824,1838462,3080.317578173599,14562,1803854,0.018528216283001,0.3426475524902344
172.29.34.202,34.120.208.123,59816,443,TCP,10.00631809234619,12,820,4.149966532662911,78,0,2.763827723001892,9.647162437438965
172.29.34.1,172.29.34.202,53,54169,DNS,0.0005476474761962,2,277,37.5,176,0,0.0,0.0005476474761962
172.29.34.1,172.29.34.202,53,40514,DNS,0.0007810592651367,2,346,72.0,245,0,0.0,0.0007810592651367
172.29.34.202,34.120.208.123,59816,443,TCP,0.3345026969909668,9,9869,556.4183300581419,1981,9275,0.0735977482833439,0.2317864894866943
172.29.34.1,172.29.34.217,53,49780,DNS,0.0612726211547851,2,310,64.0,219,0,0.0,0.0612726211547851
172.29.34.1,172.29.34.217,53,52426,DNS,0.0612752437591552,2,308,63.0,217,0,0.0,0.0612752437591552
